GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
11579,ZCTA5 11579,1952,109,4.8,3.2,2.6,2,4.7,3.5,3.5,2.3,6.5,3.1,9.8,3.7,10.6,4,20.1,4.3,14,4.7,23.4,5.5,113095,9823,149189,20447,36.8,(X),(X),(X),(X),(X),1464,88,1.1,1.5,1.4,1.5,0.8,1.1,2,2.8,6.4,3.6,10.8,4.5,13.4,5.2,18.3,5.1,17.6,5.9,28.2,6.6,132596,27823,171604,23918,(X),(X),40,(X),(X),(X),1201,104,0,2.5,1.7,1.8,0.9,1.4,2.5,3.3,4.7,3.6,11.2,5.2,9.4,4.9,17.1,5.2,20.9,7,31.7,7.4,152250,12670,N,N,(X),(X),(X),(X),(X),(X),488,121,16,11.7,6.4,8.1,16.6,12.3,7.8,4.2,6.6,5.6,8.4,6.5,5.5,4.8,22.7,10.1,4.7,4.6,5.3,4.8,43750,28830,75949,24777,(X),(X),(X),(X),27.3,(X)
11580,ZCTA5 11580,12929,341,2.7,1,1.7,0.7,4.7,1.4,5.4,1.5,9,2.2,14,2.3,12.6,2.3,23.4,2.7,16.1,2.5,10.5,2,98922,8121,111141,4860,48.7,(X),(X),(X),(X),(X),10490,373,2.3,1.1,1,0.7,3.3,1.4,3.2,1.3,7.4,2.4,12.3,2.6,13.1,2.7,27.3,3.5,18.6,3,11.4,2.4,111447,5952,120854,5834,(X),(X),52.2,(X),(X),(X),7614,406,0.9,0.7,0.7,0.7,1.2,0.7,2.2,1.2,8.7,3,10.5,2.6,11,2.7,30.3,4,22.4,3.7,12.1,2.5,122275,6578,N,N,(X),(X),(X),(X),(X),(X),2439,284,7.8,3.1,4.7,2.9,14.8,5.6,13.8,4.3,11.6,4.1,23.4,5,13.5,4.5,3.5,2,4.7,2.8,2.1,1.9,47591,9601,56970,7597,(X),(X),(X),(X),31.2,(X)
11581,ZCTA5 11581,6859,176,2.8,1.1,2.5,1.7,4.9,1.9,5.1,1.8,7.4,2.2,14,2.6,14.7,3.2,20.2,3.3,12.7,2.4,15.6,2.8,95829,7733,120665,8258,34.3,(X),(X),(X),(X),(X),5475,221,1.5,1,1.9,2,2.2,1.5,3.3,1.6,8,2.8,13.2,2.9,15.1,3.7,21.6,3.9,15.3,2.9,17.8,3.4,108234,9029,133801,9958,(X),(X),35.9,(X),(X),(X),4189,237,1.5,1.1,1.6,2.4,1.9,1.6,2.8,1.3,7.2,2.8,12.5,3.3,14.6,4.1,20.9,4.4,15.8,3.2,21.2,4,118036,16255,N,N,(X),(X),(X),(X),(X),(X),1384,182,7.9,3.8,5.5,3.5,15.8,6.3,12,5.8,8.3,3.5,20.2,6.1,12.1,4.7,11.6,5.2,4,3.3,2.5,1.9,50921,13490,60273,7802,(X),(X),(X),(X),27.9,(X)
11590,ZCTA5 11590,14037,324,2.9,0.8,3,0.9,7,1.3,6.1,1.4,8.1,1.2,12.9,1.7,13.7,1.8,18.5,1.9,13.3,1.9,14.6,1.8,92506,3055,116893,5065,53.6,(X),(X),(X),(X),(X),10551,310,1.3,0.7,1.6,0.6,2.6,1.1,4.8,1.3,8.1,1.4,12.9,2,15.2,2.2,20.8,2.2,15.8,2.4,16.9,2.2,108104,6069,131398,6050,(X),(X),56.1,(X),(X),(X),8238,351,0.7,0.5,0.9,0.6,1.8,1,3.4,1.2,7.4,1.7,11.9,1.9,14.6,2.5,21.9,2.4,17.4,2.9,20,2.5,120833,7887,N,N,(X),(X),(X),(X),(X),(X),3486,302,8.4,2.5,8.6,3.2,18.8,4.3,10,3.3,10.5,2.6,15,3.1,9.4,2.4,10.8,2.7,4.9,2,3.6,2,38676,6803,61935,6687,(X),(X),(X),(X),43.4,(X)
11596,ZCTA5 11596,3526,131,0.6,0.6,1.5,1,5,1.9,4.6,2.1,8.3,3.1,10.2,2.6,9.6,2.8,22.9,3.9,16.4,3,20.9,3.3,116143,11957,151576,10701,31.7,(X),(X),(X),(X),(X),2885,128,0.2,0.3,0.1,0.2,4.4,3,2.8,1.9,7,2.9,8.9,2.9,8.8,2.8,25.3,4.6,18.8,3.7,23.7,3.7,133792,9390,165660,12496,(X),(X),30.4,(X),(X),(X),2325,150,0,1.3,0,1.3,3.5,2.8,2.1,1.3,4.3,2.3,6.6,3,7,2.3,25.8,4.8,22.6,4.2,28.1,4.7,150911,11995,N,N,(X),(X),(X),(X),(X),(X),641,131,2.3,2.8,7.6,4.8,14.2,5.9,12.5,7.8,8.4,5,17.5,7.5,15.9,8.8,10.3,5.4,5.5,4.9,5.8,4.4,54583,8231,79246,18377,(X),(X),(X),(X),36,(X)
11598,ZCTA5 11598,3877,184,1,0.7,1,0.9,5.7,2.2,6.5,2.5,8.2,2.8,7.4,2.6,10.9,3.2,15.7,4.2,12.8,3.3,30.9,4.6,130906,6222,167403,14506,43.4,(X),(X),(X),(X),(X),3092,194,0.4,0.5,0.5,0.7,2.7,2.1,4.6,2.2,7.2,3.2,4.5,2.1,10.2,3.6,18.1,5.3,15.4,4,36.5,5.8,153846,20778,188718,17169,(X),(X),47.3,(X),(X),(X),2852,190,0.4,0.5,0.4,0.8,1.9,2,3.4,1.8,7.5,3.4,4.1,2.1,10.4,3.9,17,5.6,16.2,4.3,38.6,6.2,167635,23389,N,N,(X),(X),(X),(X),(X),(X),785,142,3.3,3,3.2,3.7,17.6,8.1,14,9.5,12,6.5,18.7,10.6,13.5,8.8,6.2,4.5,2.5,3.7,8.9,5.6,49861,17011,82365,20718,(X),(X),(X),(X),28,(X)
11691,ZCTA5 11691,19869,370,17,1.9,6.9,1.5,11.2,2.1,9.5,1.8,13.8,2,15.5,2.5,10.2,1.6,9.9,1.5,3.6,1,2.5,0.9,41190,2656,56524,3089,51.1,(X),(X),(X),(X),(X),13525,509,10,2.2,4.7,1.4,9.1,2,9.6,2.5,16,2.6,19.6,3,11.8,2.1,12.2,2,4.2,1.4,3,1.2,50513,2421,65679,3757,(X),(X),54.8,(X),(X),(X),7081,515,3,1.5,3.6,1.6,6.3,2.3,7.9,2.7,16.5,3.9,23.5,4.6,14.7,3.3,15.9,2.6,4.7,2,4,1.9,61265,4601,N,N,(X),(X),(X),(X),(X),(X),6344,546,33.3,4.9,11.7,3.1,15.9,4.2,10,3.7,10.4,3,8.1,2.7,6.3,2.1,2.1,1.6,1,0.8,1.2,1.3,17453,2836,31860,4759,(X),(X),(X),(X),42.1,(X)
11692,ZCTA5 11692,6298,279,10.1,2.6,7.1,2,12.8,2.5,10.7,3,14.8,3.1,15.8,2.6,10.9,2.9,10.7,2.7,4,1.7,3.2,1.5,42333,4020,61431,5162,42,(X),(X),(X),(X),(X),4716,316,8.3,2.7,6.4,2.3,10.9,2.9,10.8,2.7,16.1,3.8,15,2.9,11,3.5,13,3.3,4.5,2.1,3.9,2,46272,5994,66531,6202,(X),(X),44.7,(X),(X),(X),1794,266,2.5,2.4,1.7,2,5.5,3.2,4.5,2.3,13.8,5.6,12.5,4.6,16,5.4,23.5,6.8,9.7,4.7,10.4,5,90114,11796,N,N,(X),(X),(X),(X),(X),(X),1582,252,15.4,5.7,9.2,4,19.5,7.2,14.2,7.6,8.7,4.5,18.6,7,8.2,4.1,3.7,3.3,1.6,2.4,1,1.3,28875,7079,42493,6834,(X),(X),(X),(X),32,(X)
11693,ZCTA5 11693,4751,195,12.6,2.8,3.3,1.5,11,3.2,11.2,3.4,10.5,3.6,17.1,4.1,8.4,2.1,17.2,4,5.6,2.2,3,2,53829,8720,66518,4966,44.6,(X),(X),(X),(X),(X),2904,252,11.4,4.1,2.4,1.5,10.1,4.4,12.8,4.9,8.5,3.9,16,5.2,10.4,3.5,18.1,5.3,6.9,2.8,3.4,2.4,59016,9798,71607,7244,(X),(X),48.7,(X),(X),(X),1400,210,5.6,3.5,2.1,2.2,6.5,3.8,9.8,5.7,8.9,6,14.6,5.8,13.4,5.2,22.3,7,9.8,3.5,7.1,5,79853,14859,N,N,(X),(X),(X),(X),(X),(X),1847,220,15.9,5.7,4.8,3,14,5.3,8.8,4.5,12.5,5.4,18.9,6.4,7.3,3.3,12.1,6.3,3.8,4.2,2,2.5,39777,13001,55545,9147,(X),(X),(X),(X),36.7,(X)
11694,ZCTA5 11694,8150,282,5.7,2,4.2,1.5,7.1,2,6.5,2.3,9.4,2.2,14.1,2.7,16.8,2.8,15.9,2.5,11.4,1.8,8.8,1.8,79145,5784,102487,6698,42.1,(X),(X),(X),(X),(X),4847,338,2.8,2,1.4,1,3.2,1.7,5.3,2.8,7.4,2.3,11.9,3.4,19.2,4,20.1,3.5,15.4,2.9,13.2,2.7,97412,8805,126395,9364,(X),(X),45.6,(X),(X),(X),3726,304,1.8,1.7,0.7,0.8,1.2,1,4.1,2.6,5.2,1.9,9.6,3,19.3,4.6,23.4,4.3,18.6,3.4,16.2,3.5,116591,9009,141975,11049,(X),(X),(X),(X),(X),(X),3303,372,10.5,3.9,8.9,3.6,12.9,3.7,7.4,3.2,12.4,4,17.8,4,13.5,3.9,9.1,3.1,5.2,3.1,2.4,1.9,48304,9259,65792,9778,(X),(X),(X),(X),36.1,(X)
11697,ZCTA5 11697,1496,129,2.3,2.1,2.3,2,4,2.4,5.1,3.1,10.4,4.3,18.1,5.4,6.9,3.4,23.7,4.8,12.7,5.1,14.4,4.5,100909,18410,120493,13686,33.3,(X),(X),(X),(X),(X),1009,109,4.7,3.5,0.8,1.2,1.5,1.7,3.2,3.3,3.8,3.1,14.2,6,11,5.1,26.8,6.8,18,7,16.2,5.8,124271,28292,135875,15176,(X),(X),32.8,(X),(X),(X),889,111,2.9,3.1,0,3.3,1.7,1.9,3.6,3.8,4.3,3.5,13.9,6.2,10.6,5.3,25.4,7.1,20.5,7.9,17.1,6.3,136587,16276,N,N,(X),(X),(X),(X),(X),(X),487,105,0,6,5.5,5.3,9.2,6.8,9.2,6.5,24,11.2,26.3,10.5,0,6,15.6,6.7,1.6,2.8,8.4,6.3,53142,12471,82803,23933,(X),(X),(X),(X),34.3,(X)
11701,ZCTA5 11701,8552,404,4.4,1.6,4.4,1.8,6.6,2.3,9.8,2.7,9.1,2.3,13.8,2.9,15,2.4,19.6,3.5,10.5,2.3,6.8,1.7,76593,3917,90196,5142,44.4,(X),(X),(X),(X),(X),5704,349,2.3,1.3,2.5,1.6,3.9,2.1,6,2.7,8.3,3,12,3.1,18.5,3.4,24.6,4.6,13.4,3.1,8.5,2.2,94607,5959,105495,5900,(X),(X),46.5,(X),(X),(X),3594,310,0.2,0.4,2.5,2.3,3.9,2.5,5,3.3,5.1,2.5,11,3,16.9,3.6,26.9,5,18.5,4.7,10,2.4,110240,7300,N,N,(X),(X),(X),(X),(X),(X),2848,390,10.6,4.4,8.3,4.3,11.2,4.6,18.7,5.7,11.4,3.9,17.4,5.6,10.5,4.4,7.5,3.2,2.7,2.2,1.7,1.3,37134,9143,52495,7046,(X),(X),(X),(X),39.5,(X)
11702,ZCTA5 11702,5065,231,2.7,1.3,2.1,1.3,4.9,1.8,5.9,2.2,5.1,1.7,14.7,2.8,12.3,2.5,22.6,3.7,11.4,2.3,18.3,2.6,104744,9641,131044,8320,32.7,(X),(X),(X),(X),(X),3499,193,1.2,1.3,1.1,0.8,2.7,1.2,2.9,1.8,4.1,1.6,12.2,2.7,13.7,2.7,24.6,4.1,14.3,3.1,23.1,3.3,128495,7535,148585,9053,(X),(X),35.6,(X),(X),(X),2911,184,0,1,0.7,0.7,2,1.1,2.1,1.7,3.7,1.8,10.8,3.1,12.3,2.7,26.2,4.6,15.7,3.5,26.5,3.8,136235,4867,N,N,(X),(X),(X),(X),(X),(X),1566,181,6.3,3.4,5.3,3.9,9.8,4.8,12.5,6.5,7.3,4.3,22,7.3,8.6,4.6,17.8,7.5,3.1,2.6,7.3,3.8,56319,13037,88164,19750,(X),(X),(X),(X),25,(X)
11703,ZCTA5 11703,5488,178,3.2,1.7,2.1,1.2,4.7,1.7,6.9,2,8.7,1.9,13.1,2.7,17.7,3.3,26.1,3.6,8.6,1.6,8.9,2.3,92817,5623,103724,5806,40.4,(X),(X),(X),(X),(X),4094,219,2.2,1.7,1.7,1.4,3.3,2.2,6.3,2,6.4,1.8,14.3,3,16.4,3.7,30.2,4.4,10.1,2.1,9.1,2.7,99435,3998,109154,6914,(X),(X),40,(X),(X),(X),3289,235,1.9,1.6,1.4,1.5,2.4,1.5,5.4,2.2,6.7,1.9,11,2.8,16,4.3,32.7,4.7,11.6,2.4,11.1,3.3,106061,7159,N,N,(X),(X),(X),(X),(X),(X),1394,174,6.1,4,3.3,1.9,9,3.4,9.8,4.5,15.4,5.3,17.3,5.8,13.5,5.8,16.1,6.5,5.1,2.9,4.6,4.2,63611,14039,72342,8699,(X),(X),(X),(X),36.6,(X)
